"Name","activation_function","batch_size","epochs","learning_rate","num_neurons","optimizer","accuracy","f1","hamming_loss","precision","recall"
"run-41","relu","256","10","0.01","[32,64]","minibatch-gd","0.3575","0.5169172932330827","0.6425","0.350765306122449","0.9821428571428572"
"run-49","relu","256","10","0.1","[32,64]","batch-gd","0.3575","0.521415270018622","0.6425","0.3526448362720403","1"
"run-28","relu","16","100","0.1","[32]","batch-gd","0.35625","0.516431924882629","0.64375","0.3503184713375796","0.9821428571428572"
"run-157","tanh","16","10","0.1","[32,64]","batch-gd","0.35625","0.5200372786579683","0.64375","0.35182849936948296","0.9964285714285714"
"run-12","relu","16","10","0.1","[32,64]","sgd","0.355","0.5195530726256984","0.645","0.3513853904282116","0.9964285714285714"
"run-47","relu","256","10","0.1","[32]","minibatch-gd","0.355","0.5195530726256984","0.645","0.3513853904282116","0.9964285714285714"
"run-135","sigmoid","256","100","0.1","[32]","sgd","0.355","0.5204460966542751","0.645","0.35175879396984927","1"
"run-214","tanh","256","100","0.1","[32,64,32]","batch-gd","0.355","0.49902912621359224","0.645","0.3426666666666667","0.9178571428571428"
"run-2","relu","16","10","0.01","[32]","minibatch-gd","0.35375","0.5199628597957289","0.64625","0.35131744040150564","1"
"run-160","tanh","16","10","0.1","[32,64,32]","batch-gd","0.35375","0.5199628597957289","0.64625","0.35131744040150564","1"
"run-31","relu","16","100","0.1","[32,64]","batch-gd","0.35375","0.5163704396632367","0.64625","0.34980988593155893","0.9857142857142858"
"run-211","tanh","256","100","0.1","[32,64]","batch-gd","0.35375","0.5190697674418605","0.64625","0.35094339622641507","0.9964285714285714"
"run-62","relu","256","100","0.01","[32,64,32]","minibatch-gd","0.35375","0.5118035882908404","0.64625","0.3478818998716303","0.9678571428571427"
"run-30","relu","16","100","0.1","[32,64]","sgd","0.3525","0.5185873605947955","0.6475","0.35050251256281406","0.9964285714285714"
"run-33","relu","16","100","0.1","[32,64,32]","sgd","0.3525","0.5185873605947955","0.6475","0.35050251256281406","0.9964285714285714"
"run-59","relu","256","100","0.01","[32,64]","minibatch-gd","0.3525","0.5140712945590994","0.6475","0.3486005089058524","0.9785714285714284"
"run-102","sigmoid","16","100","0.1","[32,64]","sgd","0.3525","0.5194805194805194","0.6475","0.3508771929824561","1"
"run-67","relu","256","100","0.1","[32,64]","batch-gd","0.3525","0.5185873605947955","0.6475","0.35050251256281406","0.9964285714285714"
"run-196","tanh","256","10","0.1","[32,64,32]","batch-gd","0.3525","0.5185873605947955","0.6475","0.35050251256281406","0.9964285714285714"
"run-209","tanh","256","100","0.1","[32]","minibatch-gd","0.3525","0.5149812734082397","0.6475","0.3489847715736041","0.9821428571428572"
"run-32","relu","16","100","0.1","[32,64]","minibatch-gd","0.35125","0.5189990732159406","0.64875","0.3504380475594493","1"
"run-24","relu","16","100","0.01","[32,64,32]","sgd","0.35125","0.5189990732159406","0.64875","0.3504380475594493","1"
"run-156","tanh","16","10","0.1","[32,64]","sgd","0.35125","0.5189990732159406","0.64875","0.3504380475594493","1"
"run-27","relu","16","100","0.1","[32]","sgd","0.35125","0.5189990732159406","0.64875","0.3504380475594493","1"
"run-194","tanh","256","10","0.1","[32,64]","minibatch-gd","0.35125","0.5089877010406813","0.64875","0.3462033462033462","0.9607142857142856"
"run-20","relu","16","100","0.01","[32]","minibatch-gd","0.35125","0.5181058495821727","0.64875","0.35006273525721454","0.9964285714285714"
"run-146","tanh","16","10","0.01","[32]","minibatch-gd","0.35125","0.5189990732159406","0.64875","0.3504380475594493","1"
"run-99","sigmoid","16","100","0.1","[32]","sgd","0.35125","0.5189990732159406","0.64875","0.3504380475594493","1"
"run-173","tanh","16","100","0.1","[32]","minibatch-gd","0.35125","0.5189990732159406","0.64875","0.3504380475594493","1"
"run-81","sigmoid","16","10","0.1","[32]","sgd","0.35125","0.5189990732159406","0.64875","0.3504380475594493","1"
"run-117","sigmoid","256","10","0.1","[32]","sgd","0.35125","0.5189990732159406","0.64875","0.3504380475594493","1"
"run-155","tanh","16","10","0.1","[32]","minibatch-gd","0.35125","0.5189990732159406","0.64875","0.3504380475594493","1"
"run-10","relu","16","10","0.1","[32]","batch-gd","0.35125","0.5108388312912348","0.64875","0.34699103713188223","0.9678571428571427"
"run-15","relu","16","10","0.1","[32,64,32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-39","relu","256","10","0.01","[32,64]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-152","tanh","16","10","0.01","[32,64,32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-26","relu","16","100","0.01","[32,64,32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-94","sigmoid","16","100","0.01","[32,64]","batch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-84","sigmoid","16","10","0.1","[32,64]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-125","sigmoid","256","10","0.1","[32,64,32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-189","tanh","256","10","0.1","[32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-79","sigmoid","16","10","0.01","[32,64,32]","batch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-65","relu","256","100","0.1","[32]","minibatch-gd","0.35","0.5176252319109462","0.65","0.34962406015037595","0.9964285714285714"
"run-128","sigmoid","256","100","0.01","[32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-98","sigmoid","16","100","0.01","[32,64,32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-113","sigmoid","256","10","0.01","[32,64]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-198","tanh","256","100","0.01","[32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-207","tanh","256","100","0.1","[32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-147","tanh","16","10","0.01","[32,64]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-116","sigmoid","256","10","0.01","[32,64,32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-92","sigmoid","16","100","0.01","[32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-141","sigmoid","256","100","0.1","[32,64,32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-124","sigmoid","256","10","0.1","[32,64,32]","batch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-86","sigmoid","16","10","0.1","[32,64]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-13","relu","16","10","0.1","[32,64]","batch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-177","tanh","16","100","0.1","[32,64,32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-114","sigmoid","256","10","0.01","[32,64,32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-139","sigmoid","256","100","0.1","[32,64]","batch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-51","relu","256","10","0.1","[32,64,32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-29","relu","16","100","0.1","[32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-85","sigmoid","16","10","0.1","[32,64]","batch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-53","relu","256","10","0.1","[32,64,32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
"run-144","tanh","16","10","0.01","[32]","sgd","0.35","0.5185185185185185","0.65","0.35","1"
"run-83","sigmoid","16","10","0.1","[32]","minibatch-gd","0.35","0.5185185185185185","0.65","0.35","1"
