,words,PC1,PC2,PC3,PC4,PC5
0,drive,-0.5179734696112287,0.7143610027711428,0.22589571835220232,-0.5759357456620189,0.4674237400821901
1,sing,-1.3025461824957076,0.6390260688336448,-0.020351007434562255,-0.5164625443975693,1.0510976461116688
2,deer,1.593947322033103,-0.5427019740267495,1.7652661660094375,-0.25710674368773306,-0.7305502177121699
3,panda,2.3886478849510886,-2.314914473481591,0.7542218594767993,0.34663373013466786,-0.3604384851492644
4,ape,0.4724444471621751,-2.269135072669699,0.7365969634509398,0.38116754730864955,-0.4297903503710622
5,listen,-3.5589350453558244,0.22920816521642182,-0.31731725042272235,0.22008905999673645,-0.003545529340893569
6,rose,-0.02216009403724914,-0.2170290757066909,0.6788727674475964,0.028735143988497275,0.12968102322455327
7,dive,-0.7501571671461632,0.49552354273586635,0.9060677991028425,-0.8960331058846704,0.11854207559862581
8,flame,-2.737330530184757,0.208850186853505,0.7150950196085185,0.29456961123104386,-0.17318530185832373
9,helicopter,1.4740699450221513,-0.20051990330252192,0.3621022298089989,-0.6125904961257898,-0.06415100249563138
10,sit,-0.565252104615985,-1.680167645240195,-0.7724737645335723,-0.11500765453091014,-0.8727932117726451
11,knock,-1.7342409874116205,0.7763503384528503,-0.2344490816195451,0.32488655781059034,-0.7936775650443783
12,cat,1.13433056149589,-2.9685436148031235,0.38490976708039504,0.34047141115823276,0.5953968183978338
13,needle,0.8544378044069367,1.3283142243444623,0.3606909991969069,0.4463858313788774,-0.9663547899902072
14,eraser,1.8440774554201476,0.5887971296663798,-0.7506215580844539,1.0189612687032625,-0.08853468598386001
15,table,0.41172347674882337,0.07630556430718922,-1.2632238439316463,-1.1318205605268974,-1.0307072451757946
16,carrot,0.9774940154972266,0.6035698493867238,0.5606605305569126,1.2322488683757824,0.047449735549004037
17,exit,-0.6531089905628522,0.3593236488129517,-0.14375899990788552,-0.15503297110705885,-0.5329502823019667
18,brick,-0.45540757910305013,0.6711245315413132,-0.11801135461024338,-0.07207875146336871,-0.5878253898357368
19,fishing,0.5690566371349228,0.5605440542690897,0.6450761196581322,-0.6987725066479332,2.2000183389192722
20,smile,-0.8450936408047007,-0.44522066662563037,-0.07121785127650532,-0.29224325326127687,0.46407138244917134
21,bear,0.05041826993161979,-0.8161182191563682,1.6604932887452684,-0.22286776812655507,-0.6089848580396275
22,spider,0.6088942698428601,0.0407597325056447,1.9432909526947422,-0.2980760107517005,-0.623024323098035
23,bullet,-0.5710178253300239,0.7902933448530902,0.5432820821782594,0.42823823726557986,0.3036670364923833
24,shark,0.5425426457700222,0.1108919089405654,1.9092926182996353,-0.26408436647483213,0.09619117697100558
25,grass,0.603871504031799,0.12402361878779718,0.5061891564924824,-0.26144924735478187,0.03057227635848049
26,giraffe,2.358348449091045,0.3451181377180216,1.9472445642526166,-0.12922899326877882,-0.35638510566080545
27,bury,-1.6934504623883484,0.4939695629541459,-0.015442130016375228,-0.056678577356819755,-0.8727387232649173
28,download,-3.3303438663013583,0.35920113947284305,-0.25490100551257455,-0.18788920499677994,-0.4451986514148058
29,forest,0.4385075056750198,-0.008196964117978631,1.0100479475982267,-0.7781506722768027,0.21619488406305143
30,lizard,0.9678637770299842,0.16692732322395945,1.9992268704730525,0.09352213258093801,-0.8408231146308985
31,brush,0.2626053094648059,1.4901903472499856,-0.6391273469076826,1.7417467596414673,0.6963809243411972
32,mug,0.6565777637485587,-0.880428596126728,-1.5952138998807779,0.22202389667745773,-0.04491652364476964
33,feather,1.2740635946702232,1.4783540585027477,0.6959161779726494,1.3678144417529323,0.2954568386567734
34,eat,-0.993581889977012,-2.569220052634738,-0.5680292235240103,1.3747156447174225,0.7720450161009618
35,postcard,-1.0712790271691943,0.3090613130557178,-0.8269453009107852,-0.2642420528294025,-0.18720876566844663
36,hard,-3.2408626596613828,-0.4083508080507685,0.5015158982757278,0.10232171226679425,-0.23806898683961225
37,spoon,0.9696980225337567,1.5447844988604644,-0.06915747987918078,1.9535842013503197,0.02230619031133786
38,bend,-0.5377052228606148,0.4016471780075081,-0.031113228101796366,0.7400351271918115,-1.0034455875595565
39,frog,0.7832841652515516,-0.5284692165491457,2.1733321798670717,-0.33865139342389106,-0.7763250715076766
